process_noise,measurement_noise,mean_translation_error,rmse_translation_error,max_translation_error,mean_rotation_error,rmse_rotation_error,max_rotation_error
0.1,0.5,2.2281994731012293,2.7461675562970815,4.945020930436602,1.2677141710408286,1.3278213618180108,1.9567463931078635
0.1,1.0,2.0914619332964577,2.562932172522397,4.891463504512975,1.1941849018989175,1.2563401079583525,1.8450043470508035
0.1,2.0,2.134418978558204,2.523293926278595,4.995477746960571,1.2572016389405747,1.3165833012138937,1.917006100952662
0.1,5.0,2.5924279398683527,2.878245758022898,5.568866852896445,1.5409563646832354,1.594015948845352,2.2787997523439145
0.1,10.0,3.298858313521579,3.553567253308265,6.477729064472046,1.8671728826792446,1.9207178066581088,2.6968462165870903
0.5,0.5,3.0483973340111126,3.6374888920286335,5.7710153509737845,1.592219584797735,1.6531486932329393,2.4118278977662726
0.5,1.0,2.603555504865853,3.162656895661105,5.257043685581456,1.4802998214115874,1.5396406777491038,2.2573841077324914
0.5,2.0,2.2994592078938125,2.827982264697721,4.990988199247975,1.3140034121173365,1.3733522661512167,2.0230812011465105
0.5,5.0,2.0914619374418253,2.562932176909065,4.891463513913886,1.194184908923446,1.256340114701318,1.8450043576536643
0.5,10.0,2.1344188591071394,2.523293808958391,4.995477527530103,1.257201468103186,1.3165831362157112,1.9170058599601987
1.0,0.5,3.603048937466304,4.230160668503546,6.6680841226023135,1.5906890613604958,1.6510432510183615,2.406009000017562
1.0,1.0,3.0483973340110992,3.6374888920286215,5.77101535097377,1.5922195847977776,1.6531486932329844,2.4118278977663437
1.0,2.0,2.6035555048662724,3.1626568956615584,5.257043685583044,1.4802998214149945,1.5396406777525238,2.2573841077370673
1.0,5.0,2.2281994728258088,2.746167555991579,4.945020929675311,1.2677141703578443,1.3278213611463652,1.9567463920716648
1.0,10.0,2.091461942589954,2.562932182354665,4.891463525576043,1.1941849176248447,1.2563401230538493,1.845004370782675
2.0,0.5,4.2069718670053975,4.883547122748658,7.659734449301264,1.5487599295592418,1.6081986187305317,2.346578961393945
2.0,1.0,3.603048937466385,4.230160668503626,6.668084122602475,1.5906890613604958,1.6510432510183615,2.406009000017562
2.0,2.0,3.0483973340111126,3.6374888920286335,5.7710153509737845,1.5922195847978913,1.6531486932331003,2.4118278977665
2.0,5.0,2.490857918779457,3.0403242910540866,5.147498210754004,1.42735302637223,1.4863028123820416,2.1832651916175934
2.0,10.0,2.228199472522852,2.7461675556557132,4.945020928838983,1.2677141696095717,1.3278213604105409,1.9567463909368854
5.0,0.5,5.004379791477993,5.754895909049177,8.96142863364668,1.738198881449484,1.8052420963491012,2.626211868014863
5.0,1.0,4.404672378569341,5.0989577685695195,7.982750807866069,1.5554924993778336,1.615246545945736,2.35744699324799
5.0,2.0,3.7944762324919146,4.436396798997741,6.983663812501848,1.5742029895735776,1.6340950934246645,2.3820876889927973
5.0,5.0,3.048397334011148,3.6374888920286828,5.771015350974006,1.5922195847982004,1.6531486932334194,2.4118278977669547
5.0,10.0,2.60355550486926,3.1626568956647225,5.257043685593783,1.4802998214414658,1.5396406777790963,2.257384107772637
10.0,0.5,5.511607193538319,6.308382889882446,9.790099793341668,2.2372169729225924,2.3374843310526687,3.399917363718984
10.0,1.0,5.004379791477993,5.754895909049177,8.96142863364668,1.7381988814493596,1.805242096348973,2.6262118680146926
10.0,2.0,4.404672378569341,5.0989577685695195,7.982750807866069,1.5554924993777768,1.6152465459456773,2.3574469932479047
10.0,5.0,3.603048937466304,4.230160668503546,6.6680841226023135,1.5906890613604852,1.651043251018351,2.406009000017548
10.0,10.0,3.0483973340111072,3.637488892028647,5.771015350974085,1.5922195847987333,1.6531486932339696,2.4118278977677363
